(1, 7.779e-06)
(1, 4.713e-06)
(1, 3.273e-06)
(1, 3.661e-06)
(1, 3.234e-06)
(1, 2.313e-06)
(1, 1.324e-06)
(1, 2.329e-06)
(1, 1.627e-06)
(1, 1.391e-06)
(1, 1.376e-06)
(1, 1.742e-06)
(1, 2.773e-06)
(1, 1.771e-06)
(2, 3.812e-06)
(2, 2.819e-06)
(2, 2.52e-06)
(2, 2.171e-06)
(2, 6.888e-06)
(2, 2.877e-06)
(2, 2.757e-06)
(2, 2.775e-06)
(2, 3.432e-06)
(2, 3.466e-06)
(3, 6.592e-06)
(3, 5.616e-06)
(3, 5.29e-06)
(3, 5.034e-06)
(3, 5.286e-06)
(3, 4.473e-06)
(3, 5.279e-06)
(3, 4.366e-06)
(3, 4.6e-06)
(3, 4.757e-06)
(3, 4.64e-06)
(3, 5.226e-06)
(3, 4.747e-06)
(3, 4.632e-06)
(3, 7.274e-06)
(3, 6.674e-06)
(3, 4.762e-06)
(4, 5.811e-06)
(5, 9.903e-06)
(5, 7.587e-06)
(5, 7.919e-06)
(5, 6.922e-06)
(5, 6.165e-06)
(5, 7.091e-06)
(5, 6.66e-06)
(5, 6.52e-06)
(5, 2.4918e-05)
(5, 6.527e-06)
(6, 7.769e-06)
(6, 7.861e-06)
(6, 7.702e-06)
(6, 8.169e-06)
(6, 8.155e-06)
(6, 1.0561e-05)
(6, 8.09e-06)
(6, 7.635e-06)
(6, 7.645e-06)
(6, 7.35e-06)
(6, 7.832e-06)
(6, 8.301e-06)
(6, 7.616e-06)
(6, 7.586e-06)
(6, 7.308e-06)
(6, 7.174e-06)
(6, 7.402e-06)
(6, 8.562e-06)
(6, 8.009e-06)
(6, 8.04e-06)
(7, 1.9938e-05)
(8, 1.5402e-05)
(9, 1.5384e-05)
(9, 1.1661e-05)
(9, 1.2081e-05)
(9, 1.2561e-05)
(9, 1.1994e-05)
(9, 1.176e-05)
(9, 1.1212e-05)
(9, 1.1741e-05)
(9, 1.1989e-05)
(9, 1.1788e-05)
(9, 1.3605e-05)
(9, 1.1456e-05)
(9, 1.0787e-05)
(9, 1.1328e-05)
(9, 1.0952e-05)
(9, 1.1427e-05)
(9, 1.1557e-05)
(9, 1.3704e-05)
(10, 1.3328e-05)
(10, 1.2216e-05)
(10, 1.1991e-05)
(10, 1.2317e-05)
(10, 1.5865e-05)
(10, 1.298e-05)
(11, 1.4656e-05)
(11, 1.4448e-05)
(11, 1.3952e-05)
(11, 1.2824e-05)
(11, 1.3387e-05)
(11, 1.3137e-05)
(11, 2.3668e-05)
(11, 1.2828e-05)
(11, 1.3021e-05)
(11, 1.5275e-05)
(11, 1.3583e-05)
(11, 1.2739e-05)
(11, 1.3102e-05)
(11, 1.345e-05)
(11, 1.301e-05)
(12, 1.459e-05)
(12, 1.4128e-05)
(12, 1.3906e-05)
(12, 1.4267e-05)
