(1, 1.727e-06)
(1, 7.34e-07)
(1, 1.221e-06)
(1, 6.67e-07)
(1, 5.05e-07)
(1, 2.37e-07)
(1, 2.53e-07)
(1, 1.88e-07)
(1, 2.8e-07)
(1, 2.06e-07)
(1, 1.93e-07)
(1, 2.81e-07)
(1, 4.56e-07)
(1, 1.89e-07)
(1, 1.59e-07)
(1, 1.98e-07)
(1, 1.95e-07)
(1, 1.99e-07)
(1, 1.68e-07)
(1, 1.99e-07)
(1, 1.65e-07)
(1, 2.71e-07)
(1, 2.3e-07)
(2, 1.929e-06)
(2, 3.61e-07)
(2, 3.39e-07)
(2, 3.09e-07)
(2, 1.99e-07)
(2, 2.35e-07)
(2, 2.78e-07)
(2, 3.01e-07)
(2, 2.56e-07)
(2, 1.89e-07)
(2, 1.8e-07)
(2, 2.03e-07)
(2, 2.11e-07)
(2, 2.26e-07)
(2, 4.22e-07)
(2, 4.83e-06)
(2, 2.29e-07)
(2, 2.28e-07)
(2, 2.24e-07)
(2, 2.14e-07)
(2, 2.12e-07)
(2, 2.22e-07)
(2, 2.16e-07)
(2, 2.04e-07)
(2, 2.1e-07)
(2, 2.39e-07)
(2, 2.07e-07)
(2, 2.73e-07)
(2, 2.38e-07)
(2, 2.1e-07)
(2, 2.23e-07)
(2, 2.47e-07)
(2, 2.23e-07)
(2, 2.33e-07)
(2, 2.22e-07)
(2, 2.18e-07)
(2, 2.18e-07)
(2, 2.01e-07)
(2, 1.84e-07)
(2, 1.99e-07)
(2, 1.88e-07)
(2, 1.74e-07)
(2, 2.95e-07)
(2, 2.21e-07)
(2, 2.77e-07)
(2, 2.38e-07)
(2, 1.89e-07)
(2, 2.08e-07)
(2, 2.33e-07)
(2, 2.17e-07)
(2, 1.86e-07)
(2, 1.85e-07)
(2, 1.96e-07)
(2, 2.13e-07)
(2, 9.11e-07)
(2, 2.13e-07)
(2, 2.25e-07)
(2, 3.08e-07)
(2, 2.06e-07)
(2, 1.73e-07)
(2, 2.03e-07)
(2, 2.01e-07)
(2, 2.38e-07)
(3, 1.917e-06)
(3, 4.32e-07)
(3, 4.05e-07)
(3, 3.8e-07)
(3, 4.09e-07)
(3, 3.43e-07)
(3, 3.41e-07)
(3, 2.84e-07)
(3, 3.54e-07)
(3, 3.51e-07)
(3, 3.05e-07)
(3, 2.74e-07)
(3, 3.21e-07)
(3, 3.03e-07)
(3, 3.72e-07)
(3, 3.38e-07)
(3, 3.59e-07)
(3, 3.13e-07)
(3, 2.93e-07)
(3, 3.37e-07)
(3, 2.98e-07)
(3, 3.1e-07)
(3, 3.62e-07)
(3, 3.36e-07)
(3, 2.99e-07)
(3, 2.92e-07)
(3, 3.77e-07)
(3, 3.32e-07)
(3, 1.085e-06)
(3, 3.48e-07)
(3, 2.95e-07)
(3, 3.26e-07)
(3, 2.93e-07)
(3, 2.85e-07)
(3, 9.23e-07)
(3, 3.18e-07)
(3, 2.36e-07)
(3, 2.7e-07)
